licence_ref,description,licensee_name,trading_name,nominee_name,address_1,address_2,address_3,county,Full_address,latitude,longitude,g_address
N0105,Publican's Licence (7-Day Ordinary),Garry O'reilly,O'reillys (the Deers Head),,151 & 152 Parnell Street,,,Dublin 1,"O'reillys (the Deers Head), 151 & 152 Parnell Street, Dublin 1",53.35339949999999,-6.2601605,"151 Parnell St, Rotunda, Dublin, Ireland"
N2307,Publican's Licence (7-Day Ordinary),Rostino Tavern Limited,O'connells,,30 Bachelor's Walk,,,Dublin 1,"O'connells, 30 Bachelor's Walk, Dublin 1",53.3474578,-6.260248799999999,"30 Bachelor's Walk, North City, Dublin, Ireland"
N1062,Publican's Licence (7-Day Ordinary),Emerald Bar And Bistro Limited,The Flowing Tide,,9 Lower Abbey Street,108 Marlborough Street,,Dublin 1,"The Flowing Tide, 9 Lower Abbey Street, 108 Marlborough Street, Dublin 1",53.348743,-6.257746,"9 Lower Middle Abbey St, North City, Dublin, Ireland"
N1084,Publican's Licence (7-Day Ordinary),Rosie Hackett Holdings Limited,Pipers Corner,,105/106 Marlborough Street,,,Dublin 1,"Pipers Corner, 105/106 Marlborough Street, Dublin 1",53.349059,-6.257921,"105-106 Marlborough St, North City, Dublin, D01 FD28, Ireland"
1008645,Publican's Licence (7-Day Ordinary),Mountjoy Taverns Limited,Molloy's,,59 Talbot Street And,28 Talbot Place,,Dublin 1,"Molloy's, 59 Talbot Street And, 28 Talbot Place, Dublin 1",53.3510949,-6.2513941,"59 Talbot St, Mountjoy, Dublin, D01 K298, Ireland"
N0033,Publican's Licence (7-Day Ordinary),Amphitheatre Ireland Limited,3arena,,North Wall Quay,,,Dublin 1,"3arena, North Wall Quay, Dublin 1",53.3481341,-6.2450651,"3arena, 1 N Wall Quay, North Dock, Dublin, Ireland"
N1074,Publican's Licence (7-Day Ordinary),James Madigan And Sons,Madigan's,Michael Madigan,25 North Earl Street,,,Dublin 1,"Madigan's, 25 North Earl Street, Dublin 1",53.35017999999999,-6.259359,"25 N Earl St, North City, Dublin 1, D01 KX67, Ireland"
N0041,Publican's Licence (7-Day Ordinary),Southborough Taverns Limited,Robert Reids,,19 Store Street & Extension Attached & Adjoining To,,,Dublin 1,"Robert Reids, 19 Store Street & Extension Attached & Adjoining To, Dublin 1",53.341853,-6.256037,"Setanta Centre, Nassau St, Dublin 2, Ireland"
N0104,Publican's Licence (7-Day Ordinary),Jksr Trading Limited,Booze2go,,144 Parnell Street,,,Dublin 1,"Booze2go, 144 Parnell Street, Dublin 1",53.35368039999999,-6.259422799999999,"144 Parnell St, Rotunda, Dublin 1, Ireland"
N0022,Publican's Licence (7-Day Ordinary),Beechlawn Taverns Limited,Hill 16,,28/29 Middle Gardiner Street,,,Dublin 1,"Hill 16, 28/29 Middle Gardiner Street, Dublin 1",53.3550238,-6.2572031,"30 Gardiner Street Middle, Mountjoy, Dublin, Co. Dublin, D01 PK61, Ireland"
N0039,Publican's Licence (7-Day Ordinary),Nuala Mooney,Noctor's Public House,,34 Lower Sheriff Street,,,Dublin 1,"Noctor's Public House, 34 Lower Sheriff Street, Dublin 1",53.35078189999999,-6.2448504,"34 Sheriff Street Lower, North Dock, Dublin, Ireland"
N1070,Publican's Licence (7-Day Ordinary),Bolero Investments Limited,Jack Nealons Pub,,165/166 Capel Street,,,Dublin 1,"Jack Nealons Pub, 165/166 Capel Street, Dublin 1",53.346434,-6.268116,"165 Capel St, North City, Dublin, Ireland"
N0008,Publican's Licence (7-Day Ordinary),Little Chucky Bars Limited,Mulletts Public House,,45 Amien Street,,,Dublin 1,"Mulletts Public House, 45 Amien Street, Dublin 1",53.3525958,-6.2492044,"45 Amiens St, Mountjoy, Dublin 1, Ireland"
N2741,Publican's Licence (7-Day Ordinary),Richmond Properties Ireland Limited,Cill Airne,,16c North Wall,,,Dublin 1,"Cill Airne, 16c North Wall, Dublin 1",53.3470799,-6.2379557,"Quay 16, N Wall Quay, North Dock, Dublin 1, Ireland"
N1620,Publican's Licence (7-Day Ordinary),C. B. Pub Management Limited,Bodkins,,57 Bolton Street,,,Dublin 1,"Bodkins, 57 Bolton Street, Dublin 1",53.3513297,-6.2700682,"57 Bolton St, Inns Quay, Dublin 1, Co. Dublin, D01 CK40, Ireland"
1003271,Publican's Licence (7-Day Ordinary),Edward Walsh,Long Island Bar,,103 Upper Dorset Street,,,Dublin 1,"Long Island Bar, 103 Upper Dorset Street, Dublin 1",53.3552501,-6.266072599999999,"103 Dorset Street Upper, Inns Quay, Dublin 1, Ireland"
N0051,Publican's Licence (7-Day Ordinary),Jason Lowry,O'neills,,16 Summerhill Parade,And 37/38 And 39 North William Street,,Dublin 1,"O'neills, 16 Summerhill Parade, And 37/38 And 39 North William Street, Dublin 1",53.3574846,-6.2482034,"16 Summerhill Parade, Ballybough, Dublin 1, D01 Y751, Ireland"
N0089,Publican's Licence (7-Day Ordinary),Quaykoff Taverns Limited,The Temple,,71 Upper Dorset St & 1 Hardwick Place,,,Dublin 1,"The Temple, 71 Upper Dorset St & 1 Hardwick Place, Dublin 1",53.357308,-6.263601,"71 Dorset Street Upper, Rotunda, Dublin 1, Ireland"
N0091,Publican's Licence (7-Day Ordinary),Maye Taverns Limited,Maye's,,19a North Frederick Street &,"45 Upper Dorset Street & , 44 Upper Dorset Street",(excluding 2nd & 3rd Floor Levels),Dublin 1,"Maye's, 19a North Frederick Street &, 45 Upper Dorset Street & 44 Upper Dorset Street, (excluding 2nd & 3rd Floor Levels), Dublin 1",53.3556531,-6.2652974,"44 Dorset Street Upper, Rotunda, Dublin 1, D01 R284, Ireland"
1013579,Publican's Licence (7-Day Ordinary),Full Bag Limited,Bohans,,78 Meath Street,,,Dublin 1,"Bohans, 78 Meath Street, Dublin 1",53.34157099999999,-6.278464899999999,"78 Meath St, Merchants Quay, Dublin 8, D08 A318, Ireland"
N1072,Publican's Licence (7-Day Ordinary),Delisle Taverns Limited,Brannigans,,9 Cathedral Street,,,Dublin 1,"Brannigans, 9 Cathedral Street, Dublin 1",53.35042499999999,-6.2598043,"9 Cathedral St, North City, Dublin, Ireland"
N0024,Publican's Licence (7-Day Ordinary),Pkr Investments Limited,Phil Ryans,,512 & 514 North Circular Road,,,Dublin 1,"Phil Ryans, 512 & 514 North Circular Road, Dublin 1",53.3584166,-6.2559159,"512-514 N Circular Rd, Mountjoy, Dublin, Co. Dublin, 1, Ireland"
N1061,Publican's Licence (7-Day Ordinary),James Madigan (investments) Limited,Madigans,David Madigan,4 Lower Abbey Street,(basement & Ground Floors),,Dublin 1,"Madigans, 4 Lower Abbey Street, (basement & Ground Floors), Dublin 1",53.3486474,-6.2588423,"4 Abbey Street Lower, North City, Dublin, Ireland"
N0053,Publican's Licence (7-Day Ordinary),Jj Grainger (dublin) Limited,Grainger,,51/52 Talbot Street,,,Dublin 1,"Grainger, 51/52 Talbot Street, Dublin 1",53.351302,-6.250331,"51 Talbot St, Mountjoy, Dublin, Ireland"
