,latitude,longitude,trading_name
10,53.3510949,-6.2513941,Molloy's
372,53.35008999999999,-6.25107,The Brew Dock Bar
378,53.34907519999999,-6.2482662000000015,Urban Brewing
137,53.34976200000001,-6.249053,The Harbourmaster Bar
136,53.351302,-6.250331,Grainger
516,53.3521455,-6.2496104999999975,Cleary's
135,53.3525958,-6.2492044,Mulletts Public House
519,53.35277410000001,-6.248973299999999,Lloyds Bar And Lounge
518,53.3549663,-6.245943599999999,The Strand House
517,53.35078189999999,-6.2448504,Noctor's Public House
379,53.3495791,-6.2430775,Lagoona
380,53.34604870000001,-6.240653099999999,The Ferryman
86,53.3481341,-6.2450651,3arena
85,53.3453157,-6.2483387000000015,The Windjammer
339,53.3442118,-6.2489344,The Lombard
138,53.344862,-6.252147000000001,The Trinity Inn
159,53.344883,-6.252473999999999,O'neills
157,53.34587,-6.251986799999999,Ned's Of Townsend Street
369,53.3473196,-6.2547882,J. Kennedy
367,53.3483313,-6.2559502,The Wiley Fox
368,53.34691489999999,-6.2556123,John Mulligan
84,53.3459727,-6.2552968,Mactorcaills
83,53.3460395,-6.2557098,The Long Stone
30,53.34611049999999,-6.2571486,Chaplins
158,53.3457804,-6.2574701999999975,Doyles
155,53.3458139,-6.2578758,Bowes
359,53.341853,-6.256037,Robert Reids
64,53.3420277,-6.2547945,Earl Of Kildare Hotel
56,53.3389725,-6.2560138000000025,The Shelbourne Hotel
342,53.3383181,-6.255303,Residence
343,53.33831,-6.254544,Marcel's
43,53.3382083,-6.2542292,O'donoghues
42,53.3383196,-6.2537644,Foleys
344,53.3380231,-6.2529694000000005,Doheny And Nesbitt
44,53.3377566,-6.2524254,Toners
52,53.3369563,-6.2517008,Matt The Thrashers Limited
341,53.33849,-6.251306,Mcgrattans Restaurant
147,53.342039,-6.252503,Lincoln's Inn
146,53.3421354,-6.2507085,Kennedys Pub
55,53.341896,-6.24955,The Ginger Man
340,53.3414994,-6.2483629,Probus Wines And Spirits Of Dublin
53,53.3367809,-6.248700299999999,Larry Murphy's
50,53.33663879999999,-6.248421,The Henry Grattan
393,53.3313841,-6.2516186,O'briens
48,53.3313455,-6.2518679000000015,The Leeson Lounge
45,53.3357505,-6.256749999999999,Houricans Lounge
412,53.33596,-6.25666,Hartigans Bar
345,53.3361394,-6.2568633,Eamon Doran's Tavern On The Green
60,53.3397448,-6.258825799999999,The Dawson Lounge
57,53.3400991,-6.2587752,Peruke And Periwig
61,53.3404122,-6.2586987,Sams Bar
63,53.340658,-6.258619899999999,Cafe En Seine
62,53.3409938,-6.2590138,The Grotto
357,53.3411613,-6.2594293,Kehoes
358,53.34157,-6.259120999999999,Lemon And Duke
362,53.34197750000001,-6.2587796,The Duke
145,53.34300409999999,-6.258944400000002,The Porterhouse Inn
361,53.3420083,-6.2594321,The Bailey
356,53.34136789999999,-6.2608723,Bruxelles
151,53.341221,-6.2610025,Mcdaids
41,53.34074769999999,-6.2611905,Nearys
40,53.340488,-6.2606155,Captain America's Cookhouse
59,53.3397527,-6.2613404,Tgi Fridays St. Stephens Green
58,53.340136,-6.261584,Sinnotts Bar
353,53.3409566,-6.261779499999999,Sheehans
436,53.34223570000001,-6.2617799000000005,Pygmalion
65,53.3424922,-6.2622113,Farrier And Draper
143,53.34265860000001,-6.2623231000000015,Dakota
150,53.3429556,-6.2621622000000015,Rush
161,53.34314269999999,-6.2621199,The Old Stand
144,53.3431292,-6.2623674000000005,The Green Hen
142,53.3422412,-6.2626221,J Grogans Castle Lounge
37,53.3416705,-6.2626347,South William
354,53.3410567,-6.2624311,Bar Rua
424,53.3409325,-6.263268900000001,Peter's Pub
152,53.34126600000001,-6.263872999999999,Hairy Lemon
360,53.34193370000001,-6.263427399999999,Drury Buildings
141,53.3420655,-6.264005099999999,The Market Bar
435,53.34207869999999,-6.2641310999999975,Idlewild
434,53.34197760000001,-6.264603699999999,Hogans
66,53.34245840000001,-6.2647673999999975,Soder And Ko
67,53.34328299999999,-6.264235999999999,Yamamori Izakaya
165,53.3437466,-6.2646533,The George
33,53.34426020000001,-6.2653579000000015,Peadar Kearney's
427,53.3445109,-6.2642066,The Temple Bar
75,53.34535409999999,-6.2647672,The Norseman
438,53.345121,-6.26582,Bad Bobs Public House
431,53.3443127,-6.2660797,Olympia Theatre
26,53.3443444,-6.2663451,Brogans
429,53.34424839999999,-6.267112,Thomas Reads And The Oak
36,53.34143100000001,-6.266005000000002,The Snug Bar
38,53.34185,-6.2652980000000005,The Long Hall
355,53.34137020000001,-6.2652796,Capitol Bar
39,53.34061759999999,-6.2654435,Jj Smyths/jjs
423,53.3402743,-6.265504900000002,Bow Lane
347,53.3396583,-6.2656855,The Swan Bar
348,53.33750300000001,-6.265868999999999,Karma Stone
351,53.3370639,-6.2654834,Against The Grain
421,53.33693100000001,-6.265785,Solas Bar
350,53.33658000000001,-6.265715,Whelans
346,53.336371,-6.265683999999999,Ryans
352,53.33603000000001,-6.2652730000000005,Flannery's Bar
409,53.3355395,-6.2654505,Devitts
411,53.33529470000001,-6.2649447,Anseo
408,53.33489300000001,-6.265452,Raw
410,53.3340273,-6.2649959000000015,Cassidys
407,53.3334783,-6.2648142999999985,The Bleeding Horse
413,53.3352034,-6.263592099999999,The Dean Hotel
46,53.3334463,-6.262433199999999,The Pod / Crawdaddy/the Lobby Bar/tripod
414,53.3334327,-6.2624875,Odeon Bar And Restaurant
395,53.3317151,-6.2645751,The Bernard Shaw
396,53.3306816,-6.264262899999999,J O'connell
397,53.3303013,-6.2638548,The Portobello
47,53.3306015,-6.2606205,The Barge
394,53.331022,-6.2592015,The Hilton Dublin
398,53.3274912,-6.261651500000001,The Mountpleasant Inn
399,53.3242993,-6.265210099999999,The Bowery
404,53.32216460000001,-6.265913299999999,M B Slattery
401,53.3218115,-6.2655983,Copan
403,53.32114199999999,-6.265385999999999,Rody Bolands
400,53.319051,-6.264647,Murphy's
402,53.3218299,-6.2663550999999975,Grace's
405,53.3258062,-6.266717400000001,The Rathmines Hotel
406,53.3306899,-6.265301399999999,The Lower Deck
415,53.3326135,-6.2689182,The Black And Amber Pubic House
417,53.3300036,-6.275232599999999,The Harold House
418,53.3303945,-6.275719899999999,Mvp
416,53.33214399999999,-6.2753872999999984,Leonard's Corner Cafe Bar
419,53.33241429999999,-6.2754742,Headline Bar
349,53.336367,-6.2740524,Kate Mcauley's
420,53.3363556,-6.2728594000000015,Kavanagh's
443,53.33899350000001,-6.2734055,Fallons (the Capstan Bar)
422,53.3389395,-6.272304,Nash's Public House
166,53.343077,-6.2700589,The Lord Edward
34,53.34344669999999,-6.2698331,The Bull And Castle
428,53.34494729999999,-6.2678933,The Czech Inn
430,53.34453240000001,-6.2675044,The Front Lounge
439,53.3450877,-6.2674185,The Porterhouse
440,53.345077,-6.26717,Roberta's
74,53.3452613,-6.266782599999999,The Clarence Hotel And The Kitchen Niteclub
71,53.34532460000001,-6.267147599999999,Dollard And Co
80,53.3465704,-6.2678803,Pantibar
15,53.346434,-6.268116,Jack Nealons Pub
23,53.3473704,-6.268536399999999,The Boars Head
17,53.34776280000001,-6.2686698,Mcneills
178,53.3482748,-6.2688625,Slatterys
